year,title
1995,Laterally Interconnected Self-Organizing Maps in Hand-Written Digit Recognition
1988,Heterogeneous Neural Networks for Adaptive Behavior in Dynamic Environments
1995,Primitive Manipulation Learning with Connectionism
1995,Learning long-term dependencies is not as difficult with NARX networks
1995,Extracting Tree-Structured Representations of Trained Networks
1995,Does the Wake-sleep Algorithm Produce Good Density Estimators?
1995,"Control of Selective Visual Attention: Modeling the ""Where"" Pathway"
1995,Exploiting Tractable Substructures in Intractable Networks
1995,Adaptive Back-Propagation in On-Line Learning of Multilayer Networks
1995,Temporal coding in the sub-millisecond range: Model of barn owl auditory pathway
1995,On the Computational Power of Noisy Spiking Neurons
1995,A Novel Channel Selection System in Cochlear Implants Using Artificial Neural Network
1988,Convergence and Pattern-Stabilization in the Boltzmann Machine
1995,Harmony Networks Do Not Work
1995,An Information-theoretic Learning Algorithm for Neural Network Classification
1995,Experiments with Neural Networks for Real Time Implementation of Control
1995,Generalisation of A Class of Continuous Neural Networks
1995,Learning to Predict Visibility and Invisibility from Occlusion Events
1995,Constructive Algorithms for Hierarchical Mixtures of Experts
1995,Model Matching and SFMD Computation
1995,Bayesian Methods for Mixtures of Experts
1995,Human Face Detection in Visual Scenes
1995,Temporal Difference Learning in Continuous Time and Space
1995,A Neural Network Classifier for the I100 OCR Chip
1995,Using Pairs of Data-Points to Define Splits for Decision Trees
1995,Stochastic Hillclimbing as a Baseline Method for Evaluating Genetic Algorithms
1995,Improved Silicon Cochlea using Compatible Lateral Bipolar Transistors
1995,"Pruning with generalization based weight saliencies: ?OBD, ?OBS"
1995,Generating Accurate and Diverse Members of a Neural-Network Ensemble
1996,Statistical Mechanics of the Mixture of Experts
1996,Microscopic Equations in Rough Energy Landscape for Neural Networks
1996,An Architectural Mechanism for Direction-tuned Cortical Simple Cells: The Role of Mutual Inhibition
1996,Maximum Likelihood Blind Source Separation: A Context-Sensitive Generalization of ICA
1988,Learning by Choice of Internal Representations
1996,Representing Face Images for Emotion Classification
1996,Early Brain Damage
1996,Balancing Between Bagging and Bumping
1996,Adaptive On-line Learning in Changing Environments
1996,Radial Basis Function Networks and Complexity Regularization in Function Learning
1996,Learning Decision Theoretic Utilities through Reinforcement Learning
1996,Text-Based Information Retrieval Using Exponentiated Gradient Descent
1996,"Support Vector Method for Function Approximation, Regression Estimation and Signal Processing"
1996,Spatiotemporal Coupling and Scaling of Natural Images and Human Visual Sensitivities
1996,Second-order Learning Algorithm with Squared Penalty Term
1988,Skeletonization: A Technique for Trimming the Fat from a Network via Relevance Assessment
1996,Source Separation and Density Estimation by Faithful Equivariant SOM
1996,Regression with Input-Dependent Noise: A Bayesian Treatment
1996,"Bangs, Clicks, Snaps, Thuds and Whacks: An Architecture for Acoustic Transient Processing"
1996,A New Approach to Hybrid HMM/ANN Speech Recognition using Mutual Information Neural Networks
1996,An Apobayesian Relative of Winnow
1996,Hebb Learning of Features based on their Information Content
1996,Competition Among Networks Improves Committee Performance
1996,Computing with Infinite Networks
1996,ARC-LH: A New Adaptive Resampling Algorithm for Improving ANN Classifiers
1996,Neural Network Models of Chemotaxis in the Nematode Caenorhabditis Elegans
1987,Using Neural Networks to Improve Cochlear Implant Speech Perception
1988,A Model of Neural Oscillator for a Unified Submodule
1996,Visual Cortex Circuitry and Orientation Tuning
1996,Combining Neural Network Regression Estimates with Regularized Linear Weights
1996,"Dual Kalman Filtering Methods for Nonlinear Prediction, Smoothing and Estimation"
1996,Time Series Prediction using Mixtures of Experts
1996,For Valid Generalization the Size of the Weights is More Important than the Size of the Network
1996,An Adaptive WTA using Floating Gate Technology
1996,A Micropower Analog VLSI HMM State Decoder for Wordspotting
1996,GTM: A Principled Alternative to the Self-Organizing Map
1996,A Mixture of Experts Classifier with Learning Based on Both Labelled and Unlabelled Data
1996,Complex-Cell Responses Derived from Center-Surround Inputs: The Surprising Power of Intradendritic Computation
1988,Learning the Solution to the Aperture Problem for Pattern Motion with a Hebb Rule
1996,Self-Organizing and Adaptive Algorithms for Generalized Eigen-Decomposition
1996,Learning Bayesian Belief Networks with Neural Network Estimators
1996,Selective Integration: A Model for Disparity Estimation
1996,On the Effect of Analog Noise in Discrete-Time Analog Computations
1996,A Convergence Proof for the Softassign Quadratic Assignment Algorithm
1996,LSTM can Solve Hard Long Time Lag Problems
1996,Reinforcement Learning for Dynamic Channel Allocation in Cellular Telephone Systems
1996,Clustering Sequences with Hidden Markov Models
1996,On a Modification to the Mean Field EM Algorithm in Factorial Learning
1996,MLP Can Provably Generalize Much Better than VC-bounds Indicate
1988,GEMINI: Gradient Estimation Through Matrix Inversion After Noise Injection
1996,The Generalisation Cost of RAMnets
1996,Multi-Task Learning for Stock Selection
1996,Extraction of Temporal Features in the Electrosensory System of Weakly Electric Fish
1996,Learning Appearance Based Models: Mixtures of Second Moment Experts
1996,Learning from Demonstration
1996,Dynamics of Training
1996,Viewpoint Invariant Face Recognition using Independent Component Analysis and Attractor Networks
1996,Using Curvature Information for Fast Stochastic Search
1996,Efficient Nonlinear Control with Actor-Tutor Architecture
1996,Multidimensional Triangulation and Interpolation for Reinforcement Learning
1988,Linear Learning: Landscapes and Algorithms
1996,Local Bandit Approximation for Optimal Learning Problems
1996,Promoting Poor Features to Supervisors: Some Inputs Work Better as Outputs
1996,Gaussian Processes for Bayesian Classification via Hybrid Monte Carlo
1996,Fast Network Pruning and Feature Extraction by using the Unit-OBS Algorithm
1996,A Constructive Learning Algorithm for Discriminant Tangent Models
1996,Blind Separation of Delayed and Convolved Sources
1996,Neural Models for Part-Whole Hierarchies
1996,Support Vector Regression Machines
1996,Multilayer Neural Networks: One or Two Hidden Layers?
1988,Models of Ocular Dominance Column Formation: Analytical and Computational Results
1996,Predicting Lifetimes in Dynamically Allocated Memory
1996,Ordered Classes and Incomplete Examples in Classification
1996,Unsupervised Learning by Convex and Conic Coding
1996,Learning with Noise and Regularizers in Multilayer Neural Networks
1996,A Neural Model of Visual Contour Integration
1996,Sequential Tracking in Pricing Financial Options using Model Based and Neural Network Approaches
1996,Genetic Algorithms and Explicit Search Statistics
1996,Neural Learning in Structured Parameter Spaces - Natural Riemannian Gradient
1996,An Analog Implementation of the Constant Average Statistics Constraint For Sensor Calibration
1988,Training a 3-Node Neural Network is NP-Complete
1996,Effective Training of a Neural Network Character Classifier for Word Recognition
1996,Multi-effect Decompositions for Financial Data Modeling
1996,A Comparison between Neural Networks and other Statistical Techniques for Modeling the Relationship between Tobacco and Alcohol and Cancer
1996,Improving the Accuracy and Speed of Support Vector Machines
1996,The Effect of Correlated Input Data on the Dynamics of Learning
1996,A Model of Recurrent Interactions in Primary Visual Cortex
1996,The Learning Dynamcis of a Universal Approximator
1996,Removing Noise in On-Line Search using Adaptive Batch Sizes
1996,A Constructive RBF Network for Writer Adaptation
1996,Are Hopfield Networks Faster than Conventional Computers?
1988,Computer Modeling of Associative Learning
1996,Clustering via Concave Minimization
1996,Continuous Sigmoidal Belief Networks Trained using Slice Sampling
1996,Temporal Low-Order Statistics of Natural Sounds
1996,Training Algorithms for Hidden Markov Models using Entropy Based Distance Functions
1996,Hidden Markov Decision Trees
1996,A Silicon Model of Amplitude Modulation Detection in the Auditory Brainstem
1996,Learning Temporally Persistent Hierarchical Representations
1996,Adaptive Access Control Applied to Ethernet Data
1996,A Mean Field Algorithm for Bayes Learning in Large Feed-forward Neural Networks
1996,Analysis of Temporal-Diffference Learning with Function Approximation
1988,Optimization by Mean Field Annealing
1996,Monotonicity Hints
1996,Online Learning from Finite Training Sets: An Analytical Case Study
1996,Bayesian Model Comparison by Monte Carlo Chaining
1996,Multi-Grid Methods for Reinforcement Learning in Controlled Diffusion Processes
1996,Learning Exact Patterns of Quasi-synchronization among Spiking Neurons from Data on Multi-unit Recordings
1996,Representation and Induction of Finite State Machines using Time-Delay Neural Networks
1996,Neural Network Modeling of Speech and Music Signals
1996,A Hierarchical Model of Visual Rivalry
1996,Reinforcement Learning for Mixed Open-loop and Closed-loop Control
1996,Adaptively Growing Hierarchical Mixtures of Experts
1988,Electronic Receptors for Tactile/Haptic Sensing
1996,Ensemble Methods for Phoneme Classification
1996,Dynamically Adaptable CMOS Winner-Take-All Neural Network
1996,Unification of Information Maximization and Minimization
1996,A Variational Principle for Model-based Morphing
1996,Analytical Mean Squared Error Curves in Temporal Difference Learning
1996,Spectroscopic Detection of Cervical Pre-Cancer through Radial Basis Function Networks
1996,"Analog VLSI Circuits for Attention-Based, Visual Tracking"
1996,VLSI Implementation of Cortical Visual Motion Detection Using an Analog Neural Computer
1996,Minimizing Statistical Bias with Queries
1996,The CONDENSATION Algorithm - Conditional Density Propagation and Applications to Visual Tracking
1988,Scaling and Generalization in Neural Networks: A Case Study
1996,Separating Style and Content
1996,Contour Organisation with the EM Algorithm
1996,Why did TD-Gammon Work?
1996,Bayesian Unsupervised Learning of Higher Order Structure
1996,Dynamic Features for Visual Speechreading: A Systematic Comparison
1996,Limitations of Self-organizing Maps for Vector Quantization and Multidimensional Scaling
1996,3D Object Recognition: A Model of View-Tuned Neurons
1996,Approximate Solutions to Optimal Stopping Problems
1996,488 Solutions to the XOR Problem
1996,The Neurothermostat: Predictive Optimal Control of Residential Heating Systems
1987,Temporal Patterns of Activity in Neural Networks
1988,Statistical Prediction with Kanerva's Sparse Distributed Memory
1996,Reconstructing Stimulus Velocity from Neuronal Responses in Area MT
1996,On-line Policy Improvement using Monte-Carlo Search
1996,Size of Multilayer Networks for Exact Learning: Analytic Approach
1996,Spatial Decorrelation in Orientation Tuned Cortical Cells
1996,Rapid Visual Processing using Spike Asynchrony
1996,Practical Confidence and Prediction Intervals
1996,Noisy Spiking Neurons with Temporal Coding have more Computational Power than Sigmoidal Neurons
1996,Softening Discrete Relaxation
1996,Interpreting Images by Propagating Bayesian Beliefs
1988,Modeling Small Oscillating Biological Networks in Analog VLSI
1996,Salient Contour Extraction by Temporal Binding in a Cortically-based Network
1996,"Consistent Classification, Firm and Soft"
1996,Statistically Efficient Estimations Using Cortical Lateral Connections
1996,Interpolating Earth-science Data using RBF Networks and Mixtures of Experts
1996,Smoothing Regularizers for Projective Basis Function Networks
