District,First,Last,Party,PVI,Raw PVI,Rank
NY-23,Nick,Langworthy,R,R+12,R+11.75,310
NY-24,Claudia,Tenney,R,R+11,R+11.45,307
NY-25,Joe,Morelle,D,D+7,D+7.39,146
NY-26,Brian,Higgins,D,D+9,D+9.02,131
NC-01,Don,Davis,D,D+2,D+2.05,194
NC-02,Deborah,Ross,D,D+12,D+11.89,115
NC-03,Greg,Murphy,R,R+15,R+14.99,350
NC-04,Valerie,Foushee,D,D+16,D+15.76,85
NC-05,Virginia,Foxx,R,R+13,R+13,324
NC-06,Kathy,Manning,D,D+4,D+4.08,171
NC-07,David,Rouzer,R,R+8,R+8.49,277
NC-08,Dan,Bishop,R,R+20,R+19.63,396
NC-09,Richard,Hudson,R,R+6,R+6.08,254
NC-10,Patrick,McHenry,R,R+22,R+22.16,411
NC-11,Chuck,Edwards,R,R+8,R+7.83,270
NC-12,Alma,Adams,D,D+13,D+12.7,110
NC-13,Wiley,Nickel,D,R+2,R+1.64,221
NC-14,Jeff,Jackson,D,D+6,D+5.54,161
ND-AL,Kelly,Armstrong,R,R+20,R+19.85,397
OH-01,Greg,Landsman,D,D+2,D+1.75,199
OH-02,Brad,Wenstrup,R,R+25,R+24.87,424
OH-03,Joyce,Beatty,D,D+20,D+19.71,66
OH-04,Jim,Jordan,R,R+20,R+20.49,398
OH-05,Bob,Latta,R,R+15,R+15.48,353
OH-06,Bill,Johnson,R,R+16,R+16.11,360
OH-07,Max,Miller,R,R+7,R+6.98,260
OH-08,Warren,Davidson,R,R+14,R+13.74,333
OH-09,Marcy,Kaptur,D,R+3,R+3.22,234
OH-10,Mike,Turner,R,R+4,R+4.12,239
OH-11,Shontel,Brown,D,D+28,D+27.63,26
OH-12,Troy,Balderson,R,R+18,R+17.58,375
OH-13,Emilia,Sykes,D,R+1,R+0.64,216
OH-14,David,Joyce,R,R+9,R+9.45,288
OH-15,Mike,Carey,R,R+6,R+5.92,253
OK-01,Kevin,Hern,R,R+14,R+13.88,335
OK-02,Josh,Brecheen,R,R+29,R+28.89,432
OK-03,Frank,Lucas,R,R+24,R+24.38,423
OK-04,Tom,Cole,R,R+19,R+18.55,385
OK-05,Stephanie,Bice,R,R+12,R+12.4,318
OR-01,Suzanne,Bonamici,D,D+18,D+17.74,78
OR-02,Cliff,Bentz,R,R+15,R+15.21,352
OR-03,Earl,Blumenauer,D,D+22,D+22.18,55
OR-04,Val,Hoyle,D,D+4,D+4.05,174
OR-05,Lori,Chavez-DeRemer,R,D+2,D+1.82,197
OR-06,Andrea,Salinas,D,D+4,D+4.06,172
PA-01,Brian,Fitzpatrick,R,EVEN,R+0.13,213
PA-02,Brendan,Boyle,D,D+20,D+20.46,62
PA-03,Dwight,Evans,D,D+39,D+38.99,3
PA-04,Madeleine,Dean,D,D+7,D+7.01,151
PA-05,Mary,Gay Scanlon,D,D+14,D+13.97,102
PA-06,Chrissy,Houlahan,D,D+5,D+4.76,166
PA-07,Susan,Wild,D,R+2,R+2.12,225
PA-08,Matt,Cartwright,D,R+4,R+4.12,240
PA-09,Dan,Meuser,R,R+21,R+21.03,400
PA-10,Scott,Perry,R,R+5,R+4.85,246
PA-11,Lloyd,Smucker,R,R+13,R+13.42,330
